"Time","unique_id","id","Sample","Value"
218,"1_cell.1","1","cell.1",0.513160283424159
220,"1_cell.1","1","cell.1",0.528807059258497
222,"1_cell.1","1","cell.1",0.566061550995649
224,"1_cell.1","1","cell.1",0.53747394510179
226,"1_cell.1","1","cell.1",0.629917498818328
228,"1_cell.1","1","cell.1",0.582642594874145
230,"1_cell.1","1","cell.1",0.566705520704996
232,"1_cell.1","1","cell.1",0.537703084302194
234,"1_cell.1","1","cell.1",0.522561355618504
236,"1_cell.1","1","cell.1",0.558043062672339
238,"1_cell.1","1","cell.1",0.524165606759496
240,"1_cell.1","1","cell.1",0.523679654542214
0,"1_cell.2","1","cell.2",0.954287746628685
2,"1_cell.2","1","cell.2",0.959315218235713
4,"1_cell.2","1","cell.2",0.995103231609413
6,"1_cell.2","1","cell.2",0.97385567493116
8,"1_cell.2","1","cell.2",0.956231358683866
10,"1_cell.2","1","cell.2",0.973723130824346
12,"1_cell.2","1","cell.2",0.943473988403127
14,"1_cell.2","1","cell.2",0.987559262863313
16,"1_cell.2","1","cell.2",0.966930245350187
18,"1_cell.2","1","cell.2",0.935232690383962
20,"1_cell.2","1","cell.2",1
22,"1_cell.2","1","cell.2",0.922244840628597
24,"1_cell.2","1","cell.2",0.940097427282069
26,"1_cell.2","1","cell.2",0.964258745241758
28,"1_cell.2","1","cell.2",0.975284205860142
30,"1_cell.2","1","cell.2",0.977629500194581
32,"1_cell.2","1","cell.2",0.973075137413261
34,"1_cell.2","1","cell.2",0.954448272269158
36,"1_cell.2","1","cell.2",0.992761619055718
38,"1_cell.2","1","cell.2",0.918365348257799
40,"1_cell.2","1","cell.2",0.926892352462761
42,"1_cell.2","1","cell.2",0.956898497354824
44,"1_cell.2","1","cell.2",0.933646211061026
46,"1_cell.2","1","cell.2",0.937054067318415
48,"1_cell.2","1","cell.2",0.985173468940682
50,"1_cell.2","1","cell.2",0.12482120352258
52,"1_cell.2","1","cell.2",0.147840801273307
54,"1_cell.2","1","cell.2",0.0971172761302422
56,"1_cell.2","1","cell.2",0.104318839267075
58,"1_cell.2","1","cell.2",0.0163003478914627
60,"1_cell.2","1","cell.2",0.0242110219997444
62,"1_cell.2","1","cell.2",0.100695598836116
64,"1_cell.2","1","cell.2",0.0780198794069533
66,"1_cell.2","1","cell.2",0.0770143850855481
68,"1_cell.2","1","cell.2",0.0814881168685569
70,"1_cell.2","1","cell.2",0.0710403276490321
72,"1_cell.2","1","cell.2",0.0640839711098027
74,"1_cell.2","1","cell.2",0.0904164351747022
76,"1_cell.2","1","cell.2",0.0802017026763232
78,"1_cell.2","1","cell.2",0.0843694784794393
80,"1_cell.2","1","cell.2",0.0583208797099639
82,"1_cell.2","1","cell.2",0.10302248426683
84,"1_cell.2","1","cell.2",0.0769035634851295
86,"1_cell.2","1","cell.2",0.0806781251047004
88,"1_cell.2","1","cell.2",0.0967538843707302
90,"1_cell.2","1","cell.2",0.0848528962912317
92,"1_cell.2","1","cell.2",0.0853006008297998
94,"1_cell.2","1","cell.2",0.09757565783297
96,"1_cell.2","1","cell.2",0.0607887773432049
98,"1_cell.2","1","cell.2",0.0984817440742659
100,"1_cell.2","1","cell.2",0.0774061265567949
102,"1_cell.2","1","cell.2",0.0782934357162924
104,"1_cell.2","1","cell.2",0.0780250338999962
106,"1_cell.2","1","cell.2",0.0720730671479491
108,"1_cell.2","1","cell.2",0.0516708473287024
110,"1_cell.2","1","cell.2",0.0648501496827962
112,"1_cell.2","1","cell.2",0.0814829623755144
114,"1_cell.2","1","cell.2",0.0631281808284524
116,"1_cell.2","1","cell.2",0.0817749275885773
118,"1_cell.2","1","cell.2",0.0662709488722155
120,"1_cell.2","1","cell.2",0.0606013747032946
122,"1_cell.2","1","cell.2",0.0616705638315852
124,"1_cell.2","1","cell.2",0.0421740620755596
126,"1_cell.2","1","cell.2",0.0356856598689948
128,"1_cell.2","1","cell.2",0.0489643703031983
130,"1_cell.2","1","cell.2",0.033172476332593
132,"1_cell.2","1","cell.2",0.0397175779626277
134,"1_cell.2","1","cell.2",0.0607195598652026
136,"1_cell.2","1","cell.2",0.0765769895330653
138,"1_cell.2","1","cell.2",0.0555827393700545
140,"1_cell.2","1","cell.2",0.0547164163608028
142,"1_cell.2","1","cell.2",0.0823570171243303
144,"1_cell.2","1","cell.2",0.0509039323995603
146,"1_cell.2","1","cell.2",0.0676722346236871
148,"1_cell.2","1","cell.2",0.071174344468143
150,"1_cell.2","1","cell.2",0.0503012248916358
152,"1_cell.2","1","cell.2",0
154,"1_cell.2","1","cell.2",0.0862825317544384
156,"1_cell.2","1","cell.2",0.0791976810672156
158,"1_cell.2","1","cell.2",0.079461664746618
160,"1_cell.2","1","cell.2",0.171819502908054
162,"1_cell.2","1","cell.2",0.283393659310837
164,"1_cell.2","1","cell.2",0.402412744557684
166,"1_cell.2","1","cell.2",0.514543954387155
168,"1_cell.2","1","cell.2",0.558536079794497
170,"1_cell.2","1","cell.2",0.603478104634
172,"1_cell.2","1","cell.2",0.639056624683321
174,"1_cell.2","1","cell.2",0.697608352045984
176,"1_cell.2","1","cell.2",0.633513335593947
178,"1_cell.2","1","cell.2",0.688101257806756
180,"1_cell.2","1","cell.2",0.627012415332849
182,"1_cell.2","1","cell.2",0.692593398493489
184,"1_cell.2","1","cell.2",0.680669951551447
186,"1_cell.2","1","cell.2",0.715716454283144
188,"1_cell.2","1","cell.2",0.682160336396943
190,"1_cell.2","1","cell.2",0.6596661287585
192,"1_cell.2","1","cell.2",0.652850048065648
194,"1_cell.2","1","cell.2",0.685640723735004
196,"1_cell.2","1","cell.2",0.693437998996346
198,"1_cell.2","1","cell.2",0.691578699720221
200,"1_cell.2","1","cell.2",0.703430351937739
202,"1_cell.2","1","cell.2",0.705382800266708
204,"1_cell.2","1","cell.2",0.687377787890402
206,"1_cell.2","1","cell.2",0.695060559770581
208,"1_cell.2","1","cell.2",0.700466518438174
210,"1_cell.2","1","cell.2",0.687803769922576
212,"1_cell.2","1","cell.2",0.659838067919282
214,"1_cell.2","1","cell.2",0.702301886139457
216,"1_cell.2","1","cell.2",0.681495774972506
218,"1_cell.2","1","cell.2",0.686198145339768
220,"1_cell.2","1","cell.2",0.712091372961812
222,"1_cell.2","1","cell.2",0.736944129345376
224,"1_cell.2","1","cell.2",0.70407466356808
226,"1_cell.2","1","cell.2",0.852523695020428
228,"1_cell.2","1","cell.2",0.78809989554788
230,"1_cell.2","1","cell.2",0.78025181171226
232,"1_cell.2","1","cell.2",0.715995165085526
234,"1_cell.2","1","cell.2",0.728383620935636
236,"1_cell.2","1","cell.2",0.778116378880275
238,"1_cell.2","1","cell.2",0.719792553745715
240,"1_cell.2","1","cell.2",0.706509793352692
0,"1_cell.3","1","cell.3",0.957400182528375
2,"1_cell.3","1","cell.3",0.985071473984818
4,"1_cell.3","1","cell.3",0.987410327853794
6,"1_cell.3","1","cell.3",0.990302375982209
