Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14
6.666667,1.151735,1.076429,1.059093,1.080784,1.074879,1.117389,1.162054,1.030268,1.02963,1.06712,1.089822,1.021516,1.038159,1.114897
6.833334,1.134568,1.067547,1.054597,1.080066,1.070138,1.128502,1.175933,1.027049,1.02497,1.074923,1.104377,1.038077,1.048307,1.123804
7,1.143073,1.073895,1.045021,1.065369,1.049847,1.116395,1.159194,1.029196,1.022106,1.102451,1.133126,1.068407,1.044801,1.111738
7.166667,1.134686,1.064527,1.050623,1.075698,1.06492,1.117995,1.166831,1.011069,1.000853,1.088338,1.113827,1.049572,1.019676,1.09427
7.333334,1.144641,1.068535,1.055635,1.092284,1.082004,1.114502,1.158796,1.056746,1.060104,1.072788,1.095666,1.024776,1.040616,1.108592
7.5,1.143777,1.076852,1.039868,1.06544,1.056478,1.100477,1.141115,1.056057,1.039479,1.094785,1.119891,1.049011,1.024701,1.084483
7.666667,1.130151,1.058755,1.042129,1.078751,1.056823,1.109078,1.153434,1.01344,1.006866,1.082015,1.103483,1.029498,1.036942,1.105201
7.833334,1.147083,1.074395,1.046356,1.071847,1.061179,1.145475,1.194779,1.016278,1.013987,1.08677,1.118684,1.04751,1.030024,1.091078
8,1.152384,1.075596,1.042329,1.069614,1.058852,1.101126,1.138107,1.021145,1.011733,1.092063,1.12518,1.051125,1.027533,1.093593
8.166667,1.140002,1.068808,1.056121,1.084657,1.08017,1.107202,1.157561,0.9991468,1.008965,1.081753,1.120272,1.046073,1.034758,1.097814
8.333333,1.144282,1.07552,1.056341,1.085759,1.085296,1.114066,1.151284,1.008451,1.009584,1.102123,1.132415,1.058749,1.029598,1.096004
8.5,1.147437,1.071796,1.043749,1.069242,1.053243,1.091037,1.105126,1.045842,1.046511,1.102791,1.141754,1.070436,1.077222,1.142747
8.666667,1.149537,1.072139,1.055518,1.077601,1.077078,1.08149,1.129929,0.9936707,0.991159,1.10662,1.146212,1.071142,1.032528,1.08776
8.833333,1.135268,1.066471,1.036557,1.06007,1.044244,1.089809,1.146882,1.041902,1.042581,1.089582,1.123709,1.044645,1.043796,1.102183
9,1.142808,1.066637,1.049654,1.079132,1.06904,1.086706,1.141601,1.000503,0.9961632,1.117669,1.152256,1.074025,1.043456,1.109961
9.166667,1.125733,1.052214,1.052006,1.081493,1.073416,1.089469,1.135888,1.007977,1.002775,1.104321,1.143462,1.066999,1.039938,1.091925
9.333333,1.13525,1.060065,1.052359,1.076917,1.067267,1.093265,1.132793,1.034947,1.039724,1.111258,1.146199,1.067492,1.043418,1.104759
9.5,1.13807,1.059519,1.051943,1.077156,1.069263,1.098329,1.142031,1.01143,1.00866,1.085469,1.118001,1.038942,1.053175,1.121239
9.666667,1.152589,1.072993,1.040827,1.066402,1.046046,1.103531,1.159523,1.024362,1.026637,1.088659,1.135447,1.047514,1.030046,1.085556
9.833333,1.137014,1.065878,1.046861,1.072327,1.059912,1.095759,1.152322,1.032479,1.017586,1.083198,1.126132,1.039838,1.043336,1.108615
10,1.132324,1.058255,1.037429,1.060929,1.050587,1.086208,1.134224,1.026508,1.03035,1.099537,1.137334,1.055022,1.032249,1.087492
