Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14
6.666667,1.006565,0.9927132,1.005921,1.032693,1.057284,1.033576,1.066442,1.000706,1.00938,1.036077,1.047552,1.021443,1.031205,1.060131
6.833334,1.015792,1.013576,1.016355,1.038917,1.060175,1.050236,1.071897,0.999541,0.9963248,1.023526,1.043977,1.016607,1.026498,1.069398
7,1.01744,1.033311,1.021856,1.032441,1.055939,1.024342,1.047399,0.9595591,0.9851611,1.02673,1.047374,0.9961857,1.017541,1.017216
7.166667,0.9997674,1.001544,0.9806564,1.033943,1.059063,1.039661,1.065248,0.9730203,0.9799285,1.013593,1.031974,1.036094,1.038761,1.088164
7.333334,1.036568,1.047925,1.035642,1.030247,1.055732,1.045797,1.06806,1.015715,1.030407,1.017172,1.034835,0.9957126,1.018299,1.029186
7.5,1.016926,1.007553,1.015867,1.027758,1.047579,1.045969,1.057227,0.9963788,1.004545,1.025878,1.04651,0.9979405,1.02734,1.054066
7.666667,1.02934,1.024259,1.027159,1.033796,1.061616,1.052074,1.050644,0.993757,0.992015,1.02425,1.03649,1.021797,1.032988,1.062413
7.833334,1.047703,1.061749,1.052792,1.044891,1.064912,1.045603,1.051436,0.9930896,1.009457,1.031866,1.044957,1.038368,1.040632,1.068205
8,1.033115,1.040157,1.020867,1.038176,1.066613,1.040564,1.057093,1.006858,1.00402,1.032321,1.046733,1.02858,1.037426,1.081333
8.166667,1.014777,1.017983,1.00664,1.038864,1.059969,1.055079,1.079284,0.9730486,0.9882373,1.007667,1.02063,1.014622,1.022196,1.056468
8.333333,1.015948,1.02587,1.008506,1.038934,1.068595,1.047256,1.06473,1.054821,1.053293,1.026481,1.037715,0.9902653,1.006394,1.01273
8.5,1.03172,1.030297,1.018738,1.036056,1.058511,1.039293,1.066031,1.016479,1.012014,1.013385,1.02733,1.016397,1.027198,1.048648
8.666667,1.008814,0.9999158,0.9931519,1.039519,1.067851,1.043705,1.061153,1.024575,1.017551,1.03112,1.049956,1.009271,1.013828,1.029834
8.833333,1.010225,1.005323,1.000386,1.035031,1.062351,1.056673,1.069195,0.9561444,0.9662551,1.039628,1.058857,1.016727,1.024,1.057916
9,1.027917,1.044861,1.032732,1.034162,1.065445,1.047814,1.052877,0.994684,0.9923869,1.049766,1.063722,1.005597,1.020745,1.044326
9.166667,1.010114,1.011488,0.9838459,1.04317,1.066207,1.047686,1.054533,0.9593437,0.9749532,1.010807,1.023708,1.013063,1.026115,1.048635
9.333333,1.046054,1.062384,1.071174,1.035138,1.060205,1.047038,1.05383,0.9898486,1.001342,1.033404,1.053246,1.051632,1.044862,1.105955
9.5,1.030565,1.036642,1.023707,1.030325,1.056463,1.052342,1.063503,1.002252,1.000203,1.022431,1.04441,1.079103,1.06374,1.088072
9.666667,1.044129,1.043241,1.035998,1.046798,1.077304,1.04372,1.066784,1.019589,1.028212,1.028159,1.045961,1.032109,1.025909,1.069149
9.833333,1.034041,1.039632,1.037369,1.034172,1.065182,1.054959,1.078861,0.9874179,0.99121,1.037637,1.033399,1.031915,1.03704,1.098761
10,,,,,,1.047388,1.071035,1.000841,1.008102,1.033154,1.046054,0.9834639,1.00239,1.016102
