Time,Cell,Response,Condition
6,cell_8,1.004104,Condition_1
8,cell_8,0.9981139,Condition_1
10,cell_8,1.000341,Condition_1
12,cell_8,1.001524,Condition_1
14,cell_8,0.9992989,Condition_1
16,cell_8,0.9984674,Condition_1
18,cell_8,1.001118,Condition_1
20,cell_8,1.000342,Condition_1
22,cell_8,0.997544,Condition_1
24,cell_8,1.000355,Condition_1
26,cell_8,0.9991067,Condition_1
28,cell_8,0.9958675,Condition_1
30,cell_8,0.9921612,Condition_1
32,cell_8,1.000171,Condition_1
34,cell_8,0.9976097,Condition_1
36,cell_8,0.9997494,Condition_1
38,cell_8,0.9989933,Condition_1
40,cell_8,0.9948039,Condition_1
42,cell_8,0.9900403,Condition_1
44,cell_8,0.9917237,Condition_1
46,cell_8,0.9881461,Condition_1
0,cell_9,0.9892102,Condition_1
2,cell_9,0.9826044,Condition_1
4,cell_9,0.9985691,Condition_1
6,cell_9,1.004594,Condition_1
8,cell_9,1.000984,Condition_1
10,cell_9,1.005825,Condition_1
12,cell_9,1.007696,Condition_1
14,cell_9,1.004553,Condition_1
16,cell_9,1.005636,Condition_1
18,cell_9,1.013478,Condition_1
20,cell_9,1.00573,Condition_1
22,cell_9,1.003309,Condition_1
24,cell_9,1.009553,Condition_1
26,cell_9,1.002945,Condition_1
28,cell_9,0.9881277,Condition_1
30,cell_9,0.992852,Condition_1
32,cell_9,1.003909,Condition_1
34,cell_9,1.000704,Condition_1
36,cell_9,0.991233,Condition_1
38,cell_9,0.9945988,Condition_1
40,cell_9,0.993134,Condition_1
42,cell_9,0.9787376,Condition_1
44,cell_9,0.9835182,Condition_1
46,cell_9,0.9778919,Condition_1
0,cell_10,0.9929645,Condition_1
2,cell_10,1.006448,Condition_1
4,cell_10,1.000934,Condition_1
6,cell_10,0.9889891,Condition_1
8,cell_10,1.004525,Condition_1
10,cell_10,1.000582,Condition_1
12,cell_10,0.9986577,Condition_1
14,cell_10,1.000308,Condition_1
16,cell_10,0.9998969,Condition_1
18,cell_10,0.9973027,Condition_1
20,cell_10,0.9983521,Condition_1
22,cell_10,0.9904983,Condition_1
24,cell_10,0.9944381,Condition_1
26,cell_10,0.9979792,Condition_1
28,cell_10,0.9942924,Condition_1
30,cell_10,0.9912078,Condition_1
32,cell_10,0.9927669,Condition_1
34,cell_10,0.9903143,Condition_1
36,cell_10,0.9872128,Condition_1
38,cell_10,0.9855291,Condition_1
40,cell_10,0.9959385,Condition_1
42,cell_10,0.9838228,Condition_1
44,cell_10,0.9877394,Condition_1
46,cell_10,0.9797366,Condition_1
0,cell_11,0.9910962,Condition_1
2,cell_11,1.004355,Condition_1
4,cell_11,0.9958825,Condition_1
6,cell_11,0.9981266,Condition_1
8,cell_11,1.002002,Condition_1
10,cell_11,1.000546,Condition_1
12,cell_11,0.9991376,Condition_1
14,cell_11,1.00043,Condition_1
16,cell_11,1.001015,Condition_1
18,cell_11,0.9943452,Condition_1
20,cell_11,1.000162,Condition_1
22,cell_11,0.9970146,Condition_1
24,cell_11,0.9970034,Condition_1
26,cell_11,1.000025,Condition_1
28,cell_11,1.003042,Condition_1
30,cell_11,1.001827,Condition_1
32,cell_11,0.995735,Condition_1
34,cell_11,0.9937953,Condition_1
36,cell_11,0.9984173,Condition_1
38,cell_11,0.9961487,Condition_1
40,cell_11,1.001336,Condition_1
42,cell_11,0.9987546,Condition_1
44,cell_11,0.9978936,Condition_1
46,cell_11,0.997753,Condition_1
0,cell_12,0.985926,Condition_1
2,cell_12,1.008061,Condition_1
4,cell_12,0.9993525,Condition_1
6,cell_12,0.9900663,Condition_1
8,cell_12,0.9979293,Condition_1
10,cell_12,1.004209,Condition_1
12,cell_12,1.0005,Condition_1
14,cell_12,0.9996152,Condition_1
16,cell_12,1.000353,Condition_1
18,cell_12,0.9958466,Condition_1
20,cell_12,1.00261,Condition_1
22,cell_12,0.9949963,Condition_1
24,cell_12,0.9928678,Condition_1
26,cell_12,1.003834,Condition_1
28,cell_12,1.007456,Condition_1
30,cell_12,1.005137,Condition_1
32,cell_12,0.9996222,Condition_1
34,cell_12,0.9973842,Condition_1
36,cell_12,1.002541,Condition_1
38,cell_12,0.997251,Condition_1
40,cell_12,0.9999806,Condition_1
42,cell_12,1.003147,Condition_1
44,cell_12,1.004841,Condition_1
46,cell_12,1.000682,Condition_1
