Time,cell-1,cell-2,cell-3,cell-4,cell-5,cell-6,cell-7,cell-8,cell-9,cell-10,cell-11,cell-12
90,0.6670756,0.760431,0.6186101,0.6897801,0.6684079,0.6745818,0.7444032,0.8117902,0.6589903,0.572391,0.6394932,0.6416141
92,0.6673751,0.7605526,0.6194225,0.6921455,0.6694571,0.6725594,0.7446364,0.8100665,0.6577442,0.5717383,0.6367164,0.6401131
94,0.6736002,0.7638866,0.6230611,0.69156,0.6720146,0.6748692,0.7423277,0.8076423,0.6531781,0.5755753,0.6398295,0.6461521
96,0.6639975,0.753895,0.6389883,0.6911537,0.6676291,0.6743714,0.7423705,0.8089542,0.6576681,0.5718781,0.6342174,0.6395882
98,0.669982,0.7641327,0.6988535,0.6875165,0.6668726,0.6659725,0.7367296,0.8075246,0.6554462,0.5735853,0.6374652,0.643279
100,0.6682358,0.7584084,0.6311075,0.6915534,0.6690347,0.6787091,0.7537464,0.8093739,0.6599537,0.5711259,0.6332263,0.6443212
102,0.6667442,0.7586494,0.6383035,0.6891918,0.6664217,0.6767376,0.7524658,0.8119562,0.6547138,0.570328,0.631543,0.6349523
104,0.669704,0.7585765,0.638924,0.6924402,0.671641,0.6671222,0.7424706,0.808349,0.6573594,0.5691763,0.6310443,0.6410767
106,0.6637713,0.7569599,0.6375644,0.6898133,0.6716314,0.6748421,0.7457928,0.8067114,0.6542488,0.5710253,0.631089,0.6401595
108,0.6645879,0.7514185,0.6400624,0.6918577,0.6716189,0.6719027,0.7424803,0.8063893,0.6515201,0.5708692,0.6286956,0.6385007
110,0.6622819,0.7549981,0.6334744,0.687372,0.6673771,0.6658377,0.7393847,0.8086386,0.6563992,0.5681771,0.6305976,0.6388813
112,0.665643,0.7595157,0.6417574,0.6888668,0.6685454,0.6666459,0.7432832,0.8082897,0.6549813,0.57282,0.6351599,0.6444822
114,0.6617401,0.7545304,0.6333274,0.6871159,0.6698386,0.6712911,0.7459449,0.8067311,0.6535454,0.5709528,0.6362248,0.6426991
116,0.6666878,0.759595,0.6389716,0.6891255,0.6713089,0.6693178,0.7448413,0.8103139,0.6598786,0.5721152,0.6338143,0.6443937
118,0.6629437,0.755384,0.6370345,0.6882656,0.6697208,0.6734181,0.7439224,0.8072727,0.6577109,0.5701172,0.6356538,0.642487
120,0.6593377,0.7538441,0.6375932,0.6881337,0.6679878,0.6682269,0.7422594,0.804477,0.6517787,0.5705223,0.6330714,0.6416532
122,0.661852,0.7541345,0.6330434,0.6878538,0.6682515,0.6788746,0.746688,0.8064425,0.6538702,0.5708463,0.6323177,0.6386777
124,0.6605454,0.7488391,0.63602,0.6879572,0.6673157,0.6749348,0.7500987,0.8080396,0.6530709,0.5751563,0.6380141,0.6413354
126,0.6574807,0.7470768,0.6405231,0.6868591,0.6668339,0.6696571,0.7446158,0.8103539,0.6577396,0.5702664,0.6318295,0.6385086
128,0.662096,0.7506834,0.6400219,0.6847789,0.6654504,0.6705983,0.7434925,0.8073238,0.6531013,0.5699285,0.6318994,0.6354747
130,0.6560688,0.7463942,0.6374485,0.6889208,0.6720371,0.6732751,0.7477104,0.8043501,0.6484018,0.5693495,0.6316927,0.6373757
132,0.6601675,0.7481719,0.6383447,0.6862735,0.6690102,0.6682646,0.7463108,0.8047272,0.6535153,0.5713343,0.6324529,0.6386257
134,0.6624002,0.7538762,0.6405104,0.6896104,0.6714479,0.6770051,0.7456399,0.8049757,0.6518147,0.5702035,0.6312552,0.6412179
136,0.6653245,0.7581832,0.640002,0.6900047,0.671025,0.6752983,0.7433097,0.8057989,0.6583352,0.5666412,0.6297966,0.6396562
138,0.661963,0.752481,0.6406428,0.6901839,0.6712533,0.6670159,0.7435961,0.8088234,0.65417,0.5679433,0.6293859,0.6372858
140,0.6587321,0.7522457,0.6407111,0.6866176,0.670809,0.6780455,0.7538838,0.8063951,0.65781,0.5729345,0.6349045,0.6446765
142,0.6667782,0.7597531,0.6384149,0.6850116,0.6674159,0.6691081,0.7486094,0.805314,0.6521957,0.5708542,0.6344674,0.6444864
144,0.6655675,0.7512102,0.6415494,0.6853925,0.6664161,0.6712291,0.7415009,0.8015065,0.6508728,0.5673418,0.6293986,0.635443
146,0.666216,0.7557646,0.6378209,0.6640525,0.6425465,0.6671392,0.7479952,0.8040525,0.6524959,0.5687158,0.6283683,0.6417478
148,0.6661156,0.7567158,0.6478026,0.6848176,0.6661977,0.6976829,0.7623104,0.8056444,0.6514667,0.5747362,0.637214,0.6459162
150,0.6674702,0.7510465,0.6196126,0.682815,0.6737127,0.7495433,0.8135226,0.8029335,0.6538923,0.5979114,0.6630464,0.6796147
152,0.6604555,0.7373843,0.6595996,0.6955957,0.7044499,0.8219879,0.8659372,0.8236909,0.68523,0.710707,0.7488728,0.7691363
154,0.6675453,0.7608193,0.6806108,0.7208306,0.7465816,0.8823485,0.9083109,0.85026,0.736294,0.7714163,0.8070501,0.8321004
